eyeX,eyeY,eyeZ,timestamp
-0.2,3.5,5,2.943367
-0.2,3.5,5,2.95084
-0.2,3.5,5,2.958208
-0.2,3.5,5,2.965107
-0.2,3.5,5,2.972507
-0.2,3.5,5,2.986723
-0.2,3.5,5,2.993919
-0.2,3.5,5,3.000472
-0.2,3.5,5,3.008217
-0.2,3.5,5,3.016171
-0.2,3.5,5,3.023007
-0.2,3.5,5,3.030008
-0.2,3.5,5,3.03713
-0.2,3.5,5,3.044075
-0.2,3.5,5,3.05128
-0.2,3.5,5,3.058265
-0.2,3.5,5,3.17758
-0.2,3.5,5,3.204528
-0.2,3.5,5,3.212053
-0.2,3.5,5,3.219468
-0.2,3.5,5,3.226652
-0.2,3.5,5,3.234845
-0.2,3.5,5,3.241601
-0.2,3.5,5,3.249335
-0.2,3.5,5,3.256517
-0.2,3.5,5,3.26316
-0.2,3.5,5,3.270096
-0.2,3.5,5,3.278334
-0.2,3.5,5,3.285388
-0.2,3.5,5,3.292168
-0.2,3.5,5,3.299612
-0.2,3.5,5,3.306869
-0.2,3.5,5,3.314144
-0.2,3.5,5,3.320692
-0.2,3.5,5,3.327354
-0.2,3.5,5,3.334687
-0.2,3.5,5,3.347979
-0.2,3.5,5,3.355913
-0.2,3.5,5,3.364265
-0.2,3.5,5,3.37205
-0.2,3.5,5,3.379317
-0.2,3.5,5,3.387482
-0.2,3.5,5,3.395533
-0.2,3.5,5,3.403014
-0.2,3.5,5,3.409459
-0.2,3.5,5,3.416106
-0.2,3.5,5,3.423601
-0.2,3.5,5,3.430683
-0.2,3.5,5,3.438173
-0.2,3.5,5,3.444953
-0.2,3.5,5,3.45175
-0.2,3.5,5,3.458419
-0.2,3.5,5,3.465714
-0.2,3.5,5,3.473009
-0.2,3.5,5,3.479476
-0.2,3.5,5,3.488846
-0.2,3.5,5,3.503037
-0.2,3.5,5,3.510034
-0.2,3.5,5,3.517323
-0.2,3.5,5,3.524725
-0.2,3.5,5,3.531245
-0.2,3.5,5,3.537982
-0.2,3.5,5,3.545878
-0.2,3.5,5,3.552771
-0.2,3.5,5,3.559981
0.3,3.5,5,3.567281
0.3,3.5,5,3.573877
0.3,3.5,5,3.693836
0.3,3.5,5,3.70894
0.3,3.5,5,3.717876
0.3,3.5,5,3.724757
0.3,3.5,5,3.732888
0.3,3.5,5,3.739686
0.3,3.5,5,3.746234
0.3,3.5,5,3.753113
0.3,3.5,5,3.76116
0.3,3.5,5,3.769093
0.3,3.5,5,3.776816
0.3,3.5,5,3.78373
0.3,3.5,5,3.79094
0.3,3.5,5,3.798723
0.3,3.5,5,3.80639
0.3,3.5,5,3.813804
0.3,3.5,5,3.821199
0.3,3.5,5,3.828926
0.3,3.5,5,3.836158
0.3,3.5,5,3.842536
0.3,3.5,5,3.850384
0.3,3.5,5,3.863672
0.3,3.5,5,3.870716
0.3,3.5,5,3.877781
0.3,3.5,5,3.884569
0.3,3.5,5,3.891066
0.3,3.5,5,3.898099
0.3,3.5,5,3.907369
0.3,3.5,5,3.915357
0.3,3.5,5,3.922614
0.3,3.5,5,3.92978
0.3,3.5,5,3.937799
0.3,3.5,5,3.945563
0.3,3.5,5,3.952776
0.3,3.5,5,3.96025
0.3,3.5,5,3.966937
0.3,3.5,5,3.973965
0.3,3.5,5,3.98074
0.3,3.5,5,3.987739
0.3,3.5,5,3.994856
0.3,3.5,5,4.001999
0.3,3.5,5,4.017228
0.3,3.5,5,4.025866
0.3,3.5,5,4.032699
0.3,3.5,5,4.04026
0.3,3.5,5,4.047103
0.3,3.5,5,4.053684
0.3,3.5,5,4.060835
0.3,3.5,5,4.067913
0.3,3.5,5,4.075264
0.3,3.5,5,4.082774
0.3,3.5,5,4.089788
0.3,3.5,5,4.210046
0.3,3.5,5,4.224021
0.3,3.5,5,4.230886
0.3,3.5,5,4.237757
0.3,3.5,5,4.244562
0.3,3.5,5,4.251433
0.3,3.5,5,4.258349
0.3,3.5,5,4.266337
0.8,3.5,5,4.273592
0.8,3.5,5,4.280352
0.8,3.5,5,4.287391
0.8,3.5,5,4.294858
0.8,3.5,5,4.301637
0.8,3.5,5,4.308952
0.8,3.5,5,4.316081
0.8,3.5,5,4.323575
0.8,3.5,5,4.330167
0.8,3.5,5,4.337099
0.8,3.5,5,4.344023
0.8,3.5,5,4.352271
0.8,3.5,5,4.35951
0.8,3.5,5,4.366774
0.8,3.5,5,4.381326
0.8,3.5,5,4.388803
0.8,3.5,5,4.407662
0.8,3.5,5,4.414762
0.8,3.5,5,4.422273
0.8,3.5,5,4.428965
0.8,3.5,5,4.436811
0.8,3.5,5,4.443271
0.8,3.5,5,4.450207
0.8,3.5,5,4.457047
0.8,3.5,5,4.465147
0.8,3.5,5,4.47223
0.8,3.5,5,4.478716
0.8,3.5,5,4.486342
0.8,3.5,5,4.493359
0.8,3.5,5,4.500796
0.8,3.5,5,4.509041
0.8,3.5,5,4.517162
0.8,3.5,5,4.532442
0.8,3.5,5,4.539646
0.8,3.5,5,4.547239
0.8,3.5,5,4.554268
0.8,3.5,5,4.561695
0.8,3.5,5,4.568549
0.8,3.5,5,4.575891
0.8,3.5,5,4.583115
0.8,3.5,5,4.5899
0.8,3.5,5,4.598023
0.8,3.5,5,4.605684
0.8,3.5,5,4.728122
0.8,3.5,5,4.741654
0.8,3.5,5,4.748797
0.8,3.5,5,4.755111
0.8,3.5,5,4.761544
0.8,3.5,5,4.768524
0.8,3.5,5,4.775747
0.8,3.5,5,4.782888
0.8,3.5,5,4.790391
0.8,3.5,5,4.79694
0.8,3.5,5,4.803521
0.8,3.5,5,4.810259
0.8,3.5,5,4.817071
0.8,3.5,5,4.823586
0.8,3.5,5,4.830028
0.8,3.5,5,4.836258
0.8,3.5,5,4.842844
0.8,3.5,5,4.849087
0.8,3.5,5,4.855995
0.8,3.5,5,4.86301
0.8,3.5,5,4.869632
0.8,3.5,5,4.876285
0.8,3.5,5,4.88316
0.8,3.5,5,4.895424
0.8,3.5,5,4.90249
0.8,3.5,5,4.909079
0.8,3.5,5,4.915883
0.8,3.5,5,4.922229
0.8,3.5,5,4.928704
0.8,3.5,5,4.937019
0.8,3.5,5,4.944337
0.8,3.5,5,4.95137
0.8,3.5,5,4.95787
0.8,3.5,5,4.964667
0.8,3.5,5,4.971244
1.3,3.5,5,4.977726
1.3,3.5,5,4.984322
1.3,3.5,5,4.990976
1.3,3.5,5,4.997923
1.3,3.5,5,5.004426
1.3,3.5,5,5.011356
1.3,3.5,5,5.018686
1.3,3.5,5,5.025305
1.3,3.5,5,5.032133
1.3,3.5,5,5.038743
1.3,3.5,5,5.051807
1.3,3.5,5,5.059356
1.3,3.5,5,5.066779
1.3,3.5,5,5.07388
1.3,3.5,5,5.080499
1.3,3.5,5,5.087808
1.3,3.5,5,5.094762
1.3,3.5,5,5.10175
1.3,3.5,5,5.108655
1.3,3.5,5,5.115357
1.3,3.5,5,5.122179
1.3,3.5,5,5.242192
1.3,3.5,5,5.256112
1.3,3.5,5,5.263105
1.3,3.5,5,5.269453
1.3,3.5,5,5.275994
1.3,3.5,5,5.282997
1.3,3.5,5,5.289676
1.3,3.5,5,5.29691
1.3,3.5,5,5.303711
1.3,3.5,5,5.310425
1.3,3.5,5,5.317062
1.3,3.5,5,5.323522
1.3,3.5,5,5.330254
1.3,3.5,5,5.3371
1.3,3.5,5,5.34353
1.3,3.5,5,5.350101
1.3,3.5,5,5.356416
1.3,3.5,5,5.362905
1.3,3.5,5,5.369798
1.3,3.5,5,5.377456
1.3,3.5,5,5.384204
1.3,3.5,5,5.390666
1.3,3.5,5,5.39744
1.3,3.5,5,5.410474
1.3,3.5,5,5.41758
1.3,3.5,5,5.424089
1.3,3.5,5,5.430712
1.3,3.5,5,5.437143
1.3,3.5,5,5.443612
1.3,3.5,5,5.452067
1.3,3.5,5,5.458421
1.3,3.5,5,5.465186
1.3,3.5,5,5.471751
1.3,3.5,5,5.478475
1.3,3.5,5,5.485737
1.3,3.5,5,5.492722
1.3,3.5,5,5.499417
1.3,3.5,5,5.505992
1.3,3.5,5,5.512966
1.3,3.5,5,5.519732
1.3,3.5,5,5.526369
1.3,3.5,5,5.533151
1.3,3.5,5,5.539898
1.3,3.5,5,5.546408
1.3,3.5,5,5.553318
1.3,3.5,5,5.566089
1.3,3.5,5,5.572875
1.3,3.5,5,5.578863
1.3,3.5,5,5.58547
1.3,3.5,5,5.59199
1.3,3.5,5,5.59897
1.3,3.5,5,5.605747
1.3,3.5,5,5.612282
1.3,3.5,5,5.619076
1.3,3.5,5,5.625524
1.3,3.5,5,5.632363
1.3,3.5,5,5.638783
1.3,3.5,5,5.757308
1.8,3.5,5,5.771648
1.8,3.5,5,5.778267
1.8,3.5,5,5.785036
1.8,3.5,5,5.793027
1.8,3.5,5,5.800937
1.8,3.5,5,5.807611
1.8,3.5,5,5.814693
1.8,3.5,5,5.821084
1.8,3.5,5,5.827744
1.8,3.5,5,5.83461
1.8,3.5,5,5.841798
1.8,3.5,5,5.848726
1.8,3.5,5,5.855582
1.8,3.5,5,5.86214
1.8,3.5,5,5.869196
1.8,3.5,5,5.876071
1.8,3.5,5,5.882408
1.8,3.5,5,5.888611
1.8,3.5,5,5.895106
1.8,3.5,5,5.901587
1.8,3.5,5,5.908696
1.8,3.5,5,5.921391
1.8,3.5,5,5.928374
1.8,3.5,5,5.93511
1.8,3.5,5,5.941687
1.8,3.5,5,5.948523
1.8,3.5,5,5.954991
1.8,3.5,5,5.962016
1.8,3.5,5,5.969853
1.8,3.5,5,5.976679
1.8,3.5,5,5.983224
1.8,3.5,5,5.989624
1.8,3.5,5,5.996037
1.8,3.5,5,6.001974
1.8,3.5,5,6.00862
1.8,3.5,5,6.01696
1.8,3.5,5,6.023998
1.8,3.5,5,6.030446
1.8,3.5,5,6.037206
1.8,3.5,5,6.043553
1.8,3.5,5,6.050606
1.8,3.5,5,6.057155
1.8,3.5,5,6.063892
1.8,3.5,5,6.076434
1.8,3.5,5,6.08313
1.8,3.5,5,6.089669
1.8,3.5,5,6.095776
1.8,3.5,5,6.102347
1.8,3.5,5,6.108662
1.8,3.5,5,6.11562
1.8,3.5,5,6.122071
1.8,3.5,5,6.128757
1.8,3.5,5,6.135527
1.8,3.5,5,6.141914
1.8,3.5,5,6.148407
1.8,3.5,5,6.155643
1.8,3.5,5,6.2749
1.8,3.5,5,6.302552
1.8,3.5,5,6.310104
1.8,3.5,5,6.316899
1.8,3.5,5,6.323223
1.8,3.5,5,6.329517
1.8,3.5,5,6.336272
1.8,3.5,5,6.343193
1.8,3.5,5,6.350071
1.8,3.5,5,6.35643
1.8,3.5,5,6.363892
1.8,3.5,5,6.370458
1.8,3.5,5,6.377679
1.8,3.5,5,6.384581
1.8,3.5,5,6.390864
1.8,3.5,5,6.397451
1.8,3.5,5,6.404426
1.8,3.5,5,6.410833
1.8,3.5,5,6.417406
1.8,3.5,5,6.423898
1.8,3.5,5,6.430706
1.8,3.5,5,6.443239
1.8,3.5,5,6.451153
1.8,3.5,5,6.457578
2.3,3.5,5,6.46447
2.3,3.5,5,6.471302
2.3,3.5,5,6.477718
2.3,3.5,5,6.486039
2.3,3.5,5,6.492482
2.3,3.5,5,6.499041
2.3,3.5,5,6.50538
2.3,3.5,5,6.512047
2.3,3.5,5,6.518722
2.3,3.5,5,6.525476
2.3,3.5,5,6.532628
2.3,3.5,5,6.539035
2.3,3.5,5,6.545829
2.3,3.5,5,6.55252
2.3,3.5,5,6.559289
2.3,3.5,5,6.565954
2.3,3.5,5,6.572469
2.3,3.5,5,6.578907
2.3,3.5,5,6.585902
2.3,3.5,5,6.598456
2.3,3.5,5,6.604882
2.3,3.5,5,6.611186
2.3,3.5,5,6.617781
2.3,3.5,5,6.624598
2.3,3.5,5,6.631134
2.3,3.5,5,6.638251
2.3,3.5,5,6.644784
2.3,3.5,5,6.651655
2.3,3.5,5,6.658741
2.3,3.5,5,6.665234
2.3,3.5,5,6.671593
2.3,3.5,5,6.791234
2.3,3.5,5,6.804945
2.3,3.5,5,6.811578
2.3,3.5,5,6.817983
2.3,3.5,5,6.824398
2.3,3.5,5,6.83091
2.3,3.5,5,6.83754
2.3,3.5,5,6.8474
2.3,3.5,5,6.855605
2.3,3.5,5,6.862316
2.3,3.5,5,6.869283
2.3,3.5,5,6.875602
2.3,3.5,5,6.882553
2.3,3.5,5,6.889194
2.3,3.5,5,6.895466
2.3,3.5,5,6.901944
2.3,3.5,5,6.908864
2.3,3.5,5,6.915846
2.3,3.5,5,6.922069
2.3,3.5,5,6.928912
2.3,3.5,5,6.93623
2.3,3.5,5,6.943054
2.3,3.5,5,6.956055
2.3,3.5,5,6.963337
2.3,3.5,5,6.970001
2.3,3.5,5,6.97707
2.3,3.5,5,6.98417
2.3,3.5,5,6.990613
2.3,3.5,5,6.997787
2.3,3.5,5,7.005881
2.3,3.5,5,7.012339
2.3,3.5,5,7.01925
2.3,3.5,5,7.02584
2.3,3.5,5,7.032823
2.3,3.5,5,7.039134
2.3,3.5,5,7.046094
2.3,3.5,5,7.052835
2.3,3.5,5,7.059711
2.3,3.5,5,7.066394
2.3,3.5,5,7.073279
2.3,3.5,5,7.079837
2.3,3.5,5,7.086898
2.3,3.5,5,7.093443
2.3,3.5,5,7.106256
2.3,3.5,5,7.11337
2.3,3.5,5,7.120109
2.3,3.5,5,7.126632
2.3,3.5,5,7.133536
2.3,3.5,5,7.140023
2.3,3.5,5,7.147082
2.3,3.5,5,7.153956
2.3,3.5,5,7.160478
2.8,3.5,5,7.167218
2.8,3.5,5,7.174267
2.8,3.5,5,7.180862
2.8,3.5,5,7.187897
2.8,3.5,5,7.307141
2.8,3.5,5,7.321544
2.8,3.5,5,7.328568
2.8,3.5,5,7.335069
2.8,3.5,5,7.341686
2.8,3.5,5,7.347939
2.8,3.5,5,7.354444
2.8,3.5,5,7.360779
2.8,3.5,5,7.368207
2.8,3.5,5,7.374682
2.8,3.5,5,7.381824
2.8,3.5,5,7.388227
2.8,3.5,5,7.394698
2.8,3.5,5,7.401433
2.8,3.5,5,7.408169
2.8,3.5,5,7.415224
2.8,3.5,5,7.421767
2.8,3.5,5,7.428362
2.8,3.5,5,7.435307
2.8,3.5,5,7.441432
2.8,3.5,5,7.448002
2.8,3.5,5,7.454471
2.8,3.5,5,7.461235
2.8,3.5,5,7.474677
2.8,3.5,5,7.481623
2.8,3.5,5,7.488519
2.8,3.5,5,7.495034
2.8,3.5,5,7.502032
2.8,3.5,5,7.508572
2.8,3.5,5,7.517091
2.8,3.5,5,7.525072
2.8,3.5,5,7.531682
2.8,3.5,5,7.538541
2.8,3.5,5,7.54514
2.8,3.5,5,7.552219
2.8,3.5,5,7.558771
2.8,3.5,5,7.565444
2.8,3.5,5,7.571805
2.8,3.5,5,7.578217
2.8,3.5,5,7.584731
2.8,3.5,5,7.591681
2.8,3.5,5,7.598379
2.8,3.5,5,7.604973
2.8,3.5,5,7.611397
2.8,3.5,5,7.62386
2.8,3.5,5,7.630966
2.8,3.5,5,7.637801
2.8,3.5,5,7.644159
2.8,3.5,5,7.650883
2.8,3.5,5,7.657795
2.8,3.5,5,7.664935
2.8,3.5,5,7.671373
2.8,3.5,5,7.678123
2.8,3.5,5,7.684772
2.8,3.5,5,7.691256
2.8,3.5,5,7.698275
2.8,3.5,5,7.705045
2.8,3.5,5,7.824145
2.8,3.5,5,7.837672
2.8,3.5,5,7.844282
2.8,3.5,5,7.850808
2.8,3.5,5,7.857435
2.8,3.5,5,7.864218
-2.7,2.5,5,7.87125
-2.7,2.5,5,7.877807
-2.7,2.5,5,7.883967
-2.7,2.5,5,7.890308
-2.7,2.5,5,7.89689
-2.7,2.5,5,7.903811
-2.7,2.5,5,7.910933
-2.7,2.5,5,7.917474
-2.7,2.5,5,7.923872
-2.7,2.5,5,7.930556
-2.7,2.5,5,7.937072
-2.7,2.5,5,7.943331
-2.7,2.5,5,7.950091
-2.7,2.5,5,7.956856
-2.7,2.5,5,7.964667
-2.7,2.5,5,7.973379
-2.7,2.5,5,7.981366
-2.7,2.5,5,7.994375
-2.7,2.5,5,8.00211
-2.7,2.5,5,8.008696
-2.7,2.5,5,8.015475
-2.7,2.5,5,8.022091
-2.7,2.5,5,8.028719
-2.7,2.5,5,8.049706
-2.7,2.5,5,8.056862
-2.7,2.5,5,8.063301
-2.7,2.5,5,8.070133
-2.7,2.5,5,8.077106
-2.7,2.5,5,8.083847
-2.7,2.5,5,8.090791
